Author	Species	Plant_taxonomy	Plant_type	Longitude	Latitude	Elevation	Measurement_year	Vcmax_reported	Jmax_reported 	Vcmax_25C	Jmax_25C	Leaf_N 	Leaf_P	SLA	Needle_age	Treatment_CO2	Treatment_N	Treatment_P	Treatment_light	Treatment_other	Treatment_other_levels	Measurement_temperature	Photosynthetic_reference	Kinetic_reference	Km	Kc	Ko	Tau	Gamma_star	Wj_reference	J_reference	J_flag	Irradiance	Alpha	Theta	O2_reported	Notes
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	35.58	123.8	79.29	160.87	1.67	0.19	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	50% week 0	19	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	9	18	13.9	17.41	-9999.99	-9999.99	-9999.999	<1	not applicable	high	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	9	19	13.9	18.32	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	11	23	16.98	21.92	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	90	not reported	21	49	32.42	43.77	-9999.99	-9999.99	-9999.999	<1	not applicable	high	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	90	not reported	24	58	35.98	48.53	-9999.99	-9999.99	-9999.999	<1	not applicable	high	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Prumnopitys ferruginea	G	E	170.3	-43.2	90	not reported	26	50	38.98	42.53	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Prumnopitys ferruginea	G	E	170.3	-43.2	90	not reported	27	58	40.48	48.53	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	90	not reported	28	70	41.98	57.28	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Metrosideros umbellata	A	E	170.3	-43.2	90	not reported	32	65	49.41	56.21	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Prumnopitys ferruginea	G	E	170.3	-43.2	90	not reported	34	89	50.98	70.63	-9999.99	-9999.99	-9999.999	<1	not applicable	high	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Metrosideros umbellata	A	E	170.3	-43.2	90	not reported	36	71	55.58	60.72	-9999.99	-9999.99	-9999.999	<1	not applicable	high	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Metrosideros umbellata	A	E	170.3	-43.2	90	not reported	37	89	57.13	73.92	-9999.99	-9999.99	-9999.999	<1	not applicable	high	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Metrosideros umbellata	A	E	170.3	-43.2	90	not reported	38	76	58.67	64.44	-9999.99	-9999.99	-9999.999	<1	not applicable	low	low	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	90	not reported	44	110	65.97	84.86	-9999.99	-9999.99	-9999.999	<1	not applicable	low	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Prumnopitys ferruginea	G	E	170.3	-43.2	90	not reported	49	107	73.47	82.86	-9999.99	-9999.99	-9999.999	<1	not applicable	high	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Carswell et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	90	not reported	73	116	109.45	88.86	-9999.99	-9999.99	-9999.999	<1	not applicable	high	high	not applicable	not applicable	not applicable	20	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Farquhar et al 1980	no	800	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	50	not reported	9.4	32.3	30.56	39.61	-9999.99	-9999.99	-9999.999	not reported	not applicable	not applicable	not applicable	middle	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	50	not reported	10.9	35.5	35.44	43.53	-9999.99	-9999.99	-9999.999	not reported	not applicable	not applicable	not applicable	lower	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Dacrydium cupressinum	G	E	170.3	-43.2	50	not reported	11.9	40.3	38.69	49.41	-9999.99	-9999.99	-9999.999	not reported	not applicable	not applicable	not applicable	upper	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	50	not reported	13.3	48.7	44.53	62.88	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	upper	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Quintinia acutifolia	A	E	170.3	-43.2	50	not reported	14.8	47.3	49.55	61.08	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	lower	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	50	not reported	16.7	48.7	55.91	62.88	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	lower	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Quintinia acutifolia	A	E	170.3	-43.2	50	not reported	17.2	49.7	57.58	64.17	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	upper	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Weinmannia racemosa	A	E	170.3	-43.2	50	not reported	17.2	60.4	57.58	77.92	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	middle	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Quintinia acutifolia	A	E	170.3	-43.2	50	not reported	18.7	55.2	62.6	71.24	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	middle	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Meterosideros umbellata	A	E	170.3	-43.2	50	not reported	45.9	152	153.67	193.46	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	upper	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Meterosideros umbellata	A	E	170.3	-43.2	50	not reported	50.6	237	169.4	295.05	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	lower	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Tissue et al 2005	Meterosideros umbellata	A	E	170.3	-43.2	50	not reported	51.1	214	171.08	268.24	-9999.99	-9999.99	-9999.999	not applicable	not applicable	not applicable	not applicable	middle	not applicable	not applicable	20	not applicable	not applicable	-9999.99	16	37.96	2823	-9999.99	standard	Harley et al 1992	no	1000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	40.6	160.32	82.29	195.7	1.5	0.22	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	70% week 0	20	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	47.02	153.24	95.31	187.26	2.31	0.2	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	50% week 5	20	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	48.79	167.06	98.89	203.71	2.74	0.22	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	70% week 5	20	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	51	172.45	103.38	210.11	2.24	0.19	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	50% week 3	20	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	47.68	156.37	87.98	180.5	1.6	0.17	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	0% week 0	21	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	47.76	157.65	88.12	181.95	1.46	0.15	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	0% week 3	21	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	44.07	145.35	74.07	158.85	1.62	0.17	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	0% week 5	22	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	49.53	168.5	75.9	173.79	2.46	0.21	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	70% week 3	23	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	51.15	164.03	78.39	169.26	1.56	0.16	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	0% week 1	23	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	64.14	197.59	89.69	192.37	2.05	0.22	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	50% week 1	24	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	55.61	91.83	42.86	80.49	0.66	0.13	-9999.999	not applicable	ele	low	low	not applicable	months post treatment initiation	3.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	58.22	92.86	44.87	81.37	0.89	0.06	-9999.999	not applicable	amb	low	low	not applicable	months post treatment initiation	2.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	59.69	85.71	46	75.25	0.61	0.14	-9999.999	not applicable	amb	low	low	not applicable	months post treatment initiation	3.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	67.22	103.57	51.81	90.48	0.64	0.06	-9999.999	not applicable	ele	low	low	not applicable	months post treatment initiation	2.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	87.57	182.14	67.49	154.15	1.47	0.09	-9999.999	not applicable	amb	high	high	not applicable	months post treatment initiation	2.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	97.04	192.86	74.79	162.32	1.6	0.09	-9999.999	not applicable	ele	high	high	not applicable	months post treatment initiation	2.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	110.26	202.12	84.98	169.28	1.36	0.14	-9999.999	not applicable	amb	high	high	not applicable	months post treatment initiation	3.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Zhang & Dang  2006	Betula papyrifera	A	D	89.14	48.22	200	2004	123.97	281.36	95.54	224.38	1.44	0.17	-9999.999	not applicable	ele	high	high	not applicable	months post treatment initiation	3.5	26	not applicable	Bauer et al 2001	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	800	-9999.99	-9999.99	-9999.99	
Turnbull et al 2007	Eucalyptus globulus	A	E	142.05	-37.03	470	not reported	89.23	298.24	95.37	245.72	2.65	0.23	-9999.999	not applicable	not applicable	not applicable	not applicable	not applicable	crown removal amount and timing afterwards	70% week 1	27	not applicable	Harley et al 1992	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	standard	Harley et al 1992	no	2000	-9999.99	-9999.99	-9999.99	
Midgley et al 1999	Leucadendron  meridianum	G	E	20	-34.5	120	not reported	15.3	30.5	10.45	21	0.59	-9999.99	-9999.999	not applicable	ele	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  laureolum	G	E	20	-34.5	120	not reported	16.5	40	11.27	27.22	0.74	-9999.99	-9999.999	not applicable	ele	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  meridianum	G	E	20	-34.5	120	not reported	22.7	42.3	15.51	28.71	0.63	-9999.99	-9999.999	not applicable	amb	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  meridianum	A	E	20	-34.5	120	not reported	23	49.8	15.71	33.5	0.74	-9999.99	-9999.999	not applicable	ele	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  coniferum	A	E	20	-34.5	120	not reported	23.9	54.5	16.33	36.47	0.48	-9999.99	-9999.999	not applicable	ele	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  coniferum	A	E	20	-34.5	120	not reported	26.6	53.1	18.17	35.59	0.57	-9999.99	-9999.999	not applicable	amb	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  coniferum	A	E	20	-34.5	120	not reported	27.3	47.9	18.65	32.29	0.57	-9999.99	-9999.999	not applicable	ele	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  laureolum	G	E	20	-34.5	120	not reported	35.8	83.5	24.46	54.24	0.88	-9999.99	-9999.999	not applicable	ele	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  meridianum	A	E	20	-34.5	120	not reported	36.1	58.1	24.66	38.72	0.65	-9999.99	-9999.999	not applicable	amb	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  laureolum	G	E	20	-34.5	120	not reported	37.2	78.2	25.42	51.05	0.76	-9999.99	-9999.999	not applicable	amb	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron xanthoconus	G	E	20	-34.5	120	not reported	38	96.6	25.96	62.02	0.85	-9999.99	-9999.999	not applicable	ele	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  coniferum	A	E	20	-34.5	120	not reported	40.9	78.3	27.94	51.12	0.62	-9999.99	-9999.999	not applicable	amb	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron xanthoconus	G	E	20	-34.5	120	not reported	45.8	107.4	31.29	68.34	1.11	-9999.99	-9999.999	not applicable	ele	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron xanthoconus	G	E	20	-34.5	120	not reported	46	100.1	31.43	64.08	0.86	-9999.99	-9999.999	not applicable	amb	low	low	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron  laureolum	G	E	20	-34.5	120	not reported	56.4	124.6	38.53	78.26	0.98	-9999.99	-9999.999	not applicable	amb	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Midgley et al 1999	Leucadendron xanthoconus	G	E	20	-34.5	120	not reported	57.9	134.1	39.56	83.67	1.19	-9999.99	-9999.999	not applicable	amb	high	high	not applicable	not applicable	not applicable	29	not applicable	Farquhar et al 1980	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1100	-9999.99	-9999.99	-9999.99	study temperature reported as 29 (+/-1)
Merilo et al 2009	Picea abies	G	E 	27.27	58.25	40	2005	52.28	173.29	51.04	126.66	1.58	-9999.99	0.003	1	not applicable	not applicable	not applicable	upper	tree age	82	25	not applicable	Mcmurtrie and Wang 1993	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1000	-9999.99	-9999.99	-9999.99	
Merilo et al 2009	Picea abies	G	E 	27.27	58.25	40	2005	74.83	195.81	73.05	142.19	2.7	-9999.99	0.003	<1	not applicable	not applicable	not applicable	upper	tree age	26	25	not applicable	Mcmurtrie and Wang 1993	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1000	-9999.99	-9999.99	-9999.99	
Merilo et al 2009	Picea abies	G	E 	27.27	58.25	40	2005	58.88	197.24	57.48	143.19	1.81	-9999.99	0.003	1	not applicable	not applicable	not applicable	upper	tree age	52	25	not applicable	Mcmurtrie and Wang 1993	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1000	-9999.99	-9999.99	-9999.99	
Merilo et al 2009	Picea abies	G	E 	27.27	58.25	40	2005	63.28	198	61.78	143.71	1.49	-9999.99	0.003	<1	not applicable	not applicable	not applicable	upper	tree age	82	25	not applicable	Mcmurtrie and Wang 1993	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1000	-9999.99	-9999.99	-9999.99	
Merilo et al 2009	Picea abies	G	E 	27.27	58.25	40	2005	53.33	148.14	52.07	109.49	2.52	-9999.99	0.003	1	not applicable	not applicable	not applicable	upper	tree age	26	25	not applicable	Mcmurtrie and Wang 1993	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1000	-9999.99	-9999.99	-9999.99	
Merilo et al 2009	Picea abies	G	E 	27.27	58.25	40	2005	70.01	213.83	68.35	154.82	1.64	-9999.99	0.003	<1	not applicable	not applicable	not applicable	upper	tree age	52	25	not applicable	Mcmurtrie and Wang 1993	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	Von Caemmerer and Farquhar 1981	Von Caemmerer and Farquhar 1981	no	1000	-9999.99	-9999.99	-9999.99	
